rule_id,description,rows_affected,action
E01,"Flagged is_national_holiday where ticket_created_date matches data/external/nz_holidays_national.xlsx, scoped to [2024, 2025] only (14/18 source dates used; 4 rows from 2023 excluded per stakeholder decision). national_holiday_name added for matched rows. Holiday table doesn't cover the 10 stray Mar-2025 rows (see F10) — those cannot be flagged and are left False, not imputed",2022,derive
E02,"Flagged is_regional_anniversary where (region, ticket_created_date) matches data/external/nz_region_anniversaries.xlsx, scoped to [2024, 2025] (24/24 source rows used — source file was already 2024/2025-only, filter is a no-op but kept for explicitness) across the same 12 regions present in the ticket data. Matched strictly on the ticket's own region — a ticket is never flagged for another region's anniversary. regional_holiday_name added for matched rows",155,derive
E03,Derived is_public_holiday = is_national_holiday OR is_regional_anniversary; the two source calendars are disjoint in this data (0 same-date overlaps found),2177,derive
E04,"Confirmed reporting-ready category hierarchy: category_group (5) -> category_clean (10), every sub-category rolls up to exactly one top-level group. No mutation — this hierarchy was built in M2 (R02/R03); this rule only certifies it for reporting use",100851,documented_only
R01,"Flagged (not dropped) 58 rows needing date review: 8 rows with sentinel ticket_created_date (1970-01-01 or 2099-12-31), 53 rows violating the business rule ticket_resolved_date > ticket_created_date (strict: same-day resolution is not a violation given date-only granularity). New columns sentinel_date_flag, date_order_invalid, date_needs_review added; rows kept in the dataset for manual investigation; ticket_ids=[2192, 3627, 4589, 4849, 7191, 7904, 10464, 12823, 16506, 17868, 18946, 21497, 24735, 25599, 26551, 27121, 27185, 32142, 32622, 33416, 35328, 36002, 36607, 36829, 43563, 45123, 48338, 50441, 52920, 54748, 56876, 57007, 57545, 58116, 58362, 65036, 65078, 66327, 67601, 68069, 72441, 75428, 75688, 78596, 79793, 79997, 80803, 81344, 82533, 83510] ... (58 total)",58,flag
R02,"Mapped 32 raw category spellings to 10 canonical values via config/category_mapping.csv (case/whitespace-insensitive match); new column category_clean added, original category column kept",20832,remap
R03,"Added category_group (5 groups) from the taxonomy defined in config/category_mapping.csv. issue_description verified statistically independent of category: each of the 10 template sentences appears in all 10 categories at ~10% each — demoted to issue_description_unreliable (R09), must not be used to derive sub-categories",100851,derive+flag
R04,"Overwrote sla_target_hours to the canonical priority->SLA mapping (Urgent=4, High=8, Medium=24, Low=48); 779 rows (0.77%) deviated pre-fix, touching 293/5,976 customers with mismatch count correlating r=0.97 to customer ticket volume (independent per-row noise, not a customer-specific SLA) and no account_type clustering — treated as data entry error, not a real business exception",779,overwrite
R05,"Flagged is_duplicate=True for rows identical on every column except ticket_id (43 duplicate pairs / 86 rows flagged; 43 is the count of rows beyond the first occurrence in each pair). Not dropped, to preserve duplicate-submission analysis",43,flag
R06,"Renamed sla_breached to sla_breached_source (crosstab vs recomputed breach flag is uniform across cells, confirming it's unrelated to actual handling time) and derived sla_breached_calc = resolution_time_hours > sla_target_hours for Resolved/Closed tickets only; NA otherwise",40218,rename+derive
R07,"Renamed ticket_resolved_date to ticket_resolved_date_unreliable: corr with resolution_time_hours = 0.0032, 53 rows resolved before created, 100% populated for non-Resolved/Closed tickets. resolution_time_hours is the sole duration source of truth; never compute durations from this date difference",100851,rename
R08,Flagged flag_response_anomaly where first_response_time_hours > resolution_time_hours (response logged after resolution); raw values left unchanged,14750,flag
R09,"Demoted columns with _unreliable suffix (excluded from downstream modeling): customer_segment (contradicts account_type on 9,953 rows), customer_tenure_months (61% of customers have inconsistent per-ticket values), previous_tickets (r=-0.005 vs actual ticket order, capped 0-20, violates monotonicity for 48% of customers), resolution_notes (10 templated strings, uniform across categories/outcomes), issue_description (independent of category, see R03)",100851,rename
R10,"Recomputed tenure_months_calc as months(ticket_created_date - account_created_date); 677 rows nulled and flagged via tenure_calc_invalid (account_created_date postdates ticket_created_date, and/or ticket_created_date is a R01 sentinel value)",677,derive+flag
R11,"Recomputed previous_tickets_calc as the ordinal count of a customer's prior tickets sorted by ticket_created_date (ticket_id as tiebreak); by construction this is exactly monotonic per customer, unlike the raw previous_tickets column which violated monotonicity for 48% of customers",100851,derive
R12,"Derived csat_valid = csat_score where status in (Resolved, Closed), else null; raw csat_score is populated at ~98% even for unresolved tickets, which is not plausible. Satisfaction metrics must only use csat_valid",59418,derive
R13,"Filled team/assigned_to with 'Unassigned' where both were jointly null (2017 rows, spread ~evenly across all 5 statuses). Contradiction: 820 of those rows are already status Resolved/Closed with no team/assignee on record",2017,fill
R14,"Documented (no mutation): company_name/industry null for ~97.6%/100% of Residential-account rows respectively — legitimate structural nulls (individuals have no company/industry), not missing data. Left null; no imputation performed anywhere in this pipeline",30995,documented_only
